转换开始时间: 2026-02-10 09:12:23.709289
模式: hdict_to_voc
输入: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
输出: E:/个人项目/halcon_2_voc/test/test_xml
------------------------------------------------------------
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取到 10 个类别名称
[09:12:23] 读取到 10 个类别名称
[09:12:23] 共 300 个样本
[09:12:23] 共 300 个样本
[09:12:24] 生成: sh_100_test_final_0068.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0068.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0070.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0070.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0072.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0072.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0073.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0073.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0076.xml （有标注，4 个框）
[09:12:24] 生成: sh_100_test_final_0076.xml （有标注，4 个框）
[09:12:24] 生成: sh_100_test_final_0077.xml （有标注，4 个框）
[09:12:24] 生成: sh_100_test_final_0077.xml （有标注，4 个框）
[09:12:24] 生成: sh_100_test_final_0079.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0079.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0081.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0081.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0082.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0082.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0083.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0083.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0084.xml （有标注，6 个框）
[09:12:24] 生成: sh_100_test_final_0084.xml （有标注，6 个框）
[09:12:24] 生成: sh_100_test_final_0085.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0085.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0088.xml （有标注，4 个框）
[09:12:24] 生成: sh_100_test_final_0088.xml （有标注，4 个框）
[09:12:24] 生成: sh_100_test_final_0089.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0089.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0090.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0090.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0091.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0091.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0092.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0092.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0095.xml （有标注，6 个框）
[09:12:24] 生成: sh_100_test_final_0095.xml （有标注，6 个框）
[09:12:24] 生成: sh_100_test_final_0097.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0097.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0098.xml （有标注，4 个框）
[09:12:24] 生成: sh_100_test_final_0098.xml （有标注，4 个框）
[09:12:24] 生成: snbc_40_test_final_0001.xml （有标注，4 个框）
[09:12:24] 生成: snbc_40_test_final_0001.xml （有标注，4 个框）
[09:12:24] 生成: snbc_40_test_final_0003.xml （有标注，5 个框）
[09:12:24] 生成: snbc_40_test_final_0003.xml （有标注，5 个框）
